SOIL_PH,TEMP,RELATIVE_HUMIDITY,N,P,K,CROPS
6.4,21.3,50.7,111.6,45.6,58.9,wheat
6.8,10.6,95.6,73.4,50.0,52.4,radish
6.4,24.3,57.1,61.8,67.7,92.2,ash gourd
6.7,26.5,60.1,93.3,59.4,85.3,pumpkin
5.8,33.9,68.9,82.5,53.1,43.2,rice
6.3,21.4,86.3,103.6,51.0,41.9,sweet potato
5.7,23.5,71.7,177.7,68.6,78.5,maize
6.3,18.3,90.0,106.1,77.2,100.5,brinjal
7.5,22.2,79.7,60.5,40.3,44.3,cluster bean
6.5,20.0,76.4,72.2,33.9,32.1,soyabean
6.5,9.0,96.2,113.1,47.3,40.9,cauliflower
6.2,21.1,80.4,125.1,40.3,105.1,onion
6.2,27.1,96.7,25.5,30.7,36.8,gingely
6.2,18.1,79.7,89.5,45.2,56.8,chowchow
7.3,28.0,54.1,54.3,30.0,21.4,horsegram
5.5,22.9,88.8,62.9,28.0,31.3,castor
6.8,32.8,69.7,68.2,57.4,46.0,cucumber
6.7,20.2,98.1,87.8,58.6,54.0,beetroot
7.2,27.3,66.2,35.9,39.2,39.8,greengram
6.6,21.0,80.7,44.5,30.8,20.1,redgram
6.8,23.5,63.5,86.0,56.5,88.3,pumpkin
7.3,25.7,73.8,181.2,94.9,128.7,sugarcane
6.3,8.1,93.6,130.7,81.4,89.3,cabbage
6.3,24.4,60.0,53.1,25.2,38.0,bengalgram
5.3,29.0,50.1,54.8,29.5,23.7,cowpea
7.5,12.9,84.9,108.5,46.5,41.3,peas
6.7,29.0,82.4,93.8,45.6,52.8,tinda
7.8,26.5,78.5,112.4,45.1,55.3,annual moringa
6.8,27.0,75.6,114.6,46.3,98.7,tomato
5.8,33.5,86.4,31.0,32.0,23.1,gingely
6.4,30.9,70.4,87.0,71.2,86.2,ash gourd
6.5,18.6,99.1,87.0,50.3,53.1,beetroot
6.6,15.0,96.0,63.9,57.3,53.5,sorghum
6.3,29.7,50.4,35.7,35.6,22.8,cowpea
6.7,24.1,95.0,93.4,44.2,54.2,cauliflower
6.2,16.1,99.7,88.9,58.9,49.1,radish
6.5,10.3,96.3,97.2,45.8,46.2,radish
6.7,22.0,56.2,108.0,44.5,46.0,wheat
6.0,17.6,90.3,53.2,36.0,35.2,soyabean
6.0,21.5,60.0,44.8,24.5,22.4,bengalgram
6.2,36.6,56.8,51.3,25.9,32.5,horsegram
6.7,20.2,79.7,46.8,29.8,22.5,redgram
6.3,22.8,51.3,109.7,49.5,40.5,wheat
7.2,24.9,68.5,176.2,87.5,143.0,sugarcane
7.1,24.7,90.0,133.9,41.4,95.2,brinjal
6.9,24.8,90.2,73.5,25.2,29.1,sunflower
6.2,20.0,16.0,51.1,24.2,34.9,kudiraivali
6.9,26.8,78.9,82.0,57.9,73.7,watermelon
6.8,24.0,76.4,53.6,35.1,32.3,redgram
6.5,29.0,74.2,88.3,32.6,37.3,jute
6.2,34.1,15.1,39.8,22.6,29.0,panivaragu
5.9,20.0,16.0,58.8,20.8,21.1,kudiraivali
6.8,26.0,16.7,34.4,21.5,28.9,thinai
6.4,20.3,82.6,71.2,44.7,44.7,chowchow
6.3,25.8,85.5,83.1,52.2,41.6,sweet potato
6.3,19.6,98.3,93.5,45.4,47.2,beetroot
6.9,29.3,80.5,74.7,65.2,62.9,bitter gourd
6.1,21.6,63.5,99.0,47.7,58.8,rice
7.4,16.6,67.8,103.8,62.9,66.6,sugarbeet
6.7,28.1,50.4,95.5,53.2,41.0,tapoica
8.9,32.4,17.9,31.3,24.2,26.8,samai
5.3,22.7,94.0,76.8,33.3,22.5,castor
7.1,20.7,84.2,59.1,36.1,26.3,sunflower
6.3,21.8,54.3,40.9,37.3,32.4,cowpea
6.3,20.0,18.5,52.4,36.8,36.6,kudiraivali
6.5,28.8,82.6,144.7,55.3,97.3,chillies
6.8,30.3,73.6,72.5,38.5,31.3,soyabean
7.5,15.4,17.1,34.6,25.5,20.4,ragi
6.8,28.0,78.6,60.8,63.3,67.2,bitter gourd
6.6,21.1,76.6,43.3,36.0,29.3,redgram
7.4,41.3,17.5,32.1,39.3,29.6,blackgram
6.4,29.4,63.4,48.3,38.9,22.8,horsegram
6.4,22.3,81.1,147.2,46.3,111.3,onion
6.7,21.9,88.8,116.4,45.0,57.1,sweet potato
6.7,16.9,73.6,72.1,42.1,44.7,small onion
6.3,37.0,78.9,81.7,44.3,32.0,jute
6.3,29.8,56.9,73.5,43.3,70.7,ash gourd
6.9,28.6,75.4,143.9,68.8,104.1,tomato
8.1,14.8,16.3,35.7,24.0,29.6,ragi
6.0,25.6,52.9,35.0,35.3,25.0,cowpea
6.8,10.5,86.1,104.6,40.4,46.1,peas
7.4,25.9,69.6,91.7,40.6,55.8,cucumber
7.0,30.8,68.0,89.2,57.1,43.7,rice
6.9,29.7,81.2,64.7,79.0,72.0,bitter gourd
7.3,27.4,79.0,94.3,60.8,96.9,ribbed gourd
7.5,24.8,79.1,119.9,44.8,98.4,watermelon
6.8,19.1,99.9,78.3,49.6,40.9,beetroot
6.3,21.0,74.4,69.7,35.7,25.2,soyabean
7.6,38.2,17.9,29.3,20.6,24.2,blackgram
5.6,27.1,84.1,90.2,45.5,50.2,elephant foot yam
6.8,21.3,86.6,78.6,28.6,32.5,soyabean
7.0,21.5,63.3,87.4,48.7,82.4,pumpkin
7.2,30.4,77.4,98.2,46.6,68.1,muskmelon
8.0,20.6,18.0,34.6,29.1,22.7,ragi
6.6,27.7,84.0,135.3,61.2,92.2,tomato
7.2,20.4,17.7,38.7,23.0,27.7,blackgram
6.7,19.2,99.8,91.7,42.1,48.0,beetroot
6.4,28.5,17.1,30.2,26.2,20.7,panivaragu
7.2,39.7,77.3,50.4,36.5,25.6,horsegram
6.7,24.9,79.0,100.4,52.2,87.2,watermelon
6.5,21.4,80.5,69.4,34.8,35.4,sunflower
6.1,22.9,91.9,146.0,68.6,106.9,capsicum
6.8,34.1,65.0,61.8,49.8,50.2,groundnut
6.1,23.4,54.0,115.8,44.3,53.2,wheat
7.3,24.7,99.4,78.1,46.3,58.1,sorghum
5.7,26.5,15.1,30.9,27.7,29.9,varagu
6.1,23.4,84.3,137.6,76.8,100.9,chillies
6.4,14.7,99.7,72.2,46.6,40.9,radish
6.8,21.8,99.0,73.2,40.9,54.7,sorghum
6.1,24.0,52.0,104.3,45.4,47.9,wheat
6.7,34.7,87.4,62.3,33.2,33.4,jute
6.3,22.2,87.9,67.5,78.7,72.7,snake gourd
6.1,16.4,96.3,67.8,56.5,59.9,sorghum
6.6,25.7,79.5,48.5,24.9,37.3,redgram
5.8,14.7,76.5,95.7,46.0,58.3,french bean
6.7,19.7,77.7,51.9,32.7,35.8,redgram
6.1,33.4,73.0,54.5,32.9,32.5,horsegram
7.1,32.1,77.1,96.1,49.7,32.7,jute
6.6,26.3,97.1,102.5,46.0,50.9,cauliflower
8.4,22.0,89.7,45.8,31.9,30.0,castor
6.2,23.3,73.6,98.3,40.6,47.0,small onion
6.3,24.3,79.7,146.5,47.3,118.3,onion
6.3,24.7,87.0,105.6,53.4,47.6,sweet potato
5.6,15.8,95.9,72.3,59.5,59.7,radish
5.4,18.3,15.4,39.3,25.5,20.3,ragi
6.5,30.2,66.6,25.5,36.2,36.5,greengram
6.4,22.7,87.2,100.0,57.6,76.4,snake gourd
6.6,26.9,78.8,90.0,58.3,92.0,watermelon
8.0,30.5,85.1,22.4,38.3,33.0,gingely
6.6,28.9,79.8,61.9,48.3,99.5,bitter gourd
7.4,22.3,90.0,146.9,55.9,100.6,brinjal
6.0,23.1,73.8,147.5,74.0,60.1,maize
5.3,25.0,90.3,52.3,32.9,20.2,castor
7.6,24.0,99.3,49.0,29.6,29.6,castor
5.4,32.7,77.9,88.8,47.4,42.2,rice
6.9,12.4,15.9,36.9,25.4,29.8,panivaragu
6.9,24.2,82.3,61.3,35.3,30.1,soyabean
6.9,26.4,77.3,82.2,48.5,98.7,watermelon
5.6,26.5,17.5,39.5,22.0,26.5,varagu
5.9,27.8,83.5,94.4,53.1,47.0,elephant foot yam
5.9,20.5,76.5,66.4,46.0,44.9,chowchow
5.6,23.8,79.2,71.8,42.5,41.6,vegetable cowpea
6.3,26.6,15.3,31.4,28.7,25.4,varagu
7.0,26.8,84.6,82.2,57.1,69.2,watermelon
5.6,14.6,97.4,83.7,41.9,52.5,radish
5.9,14.9,98.8,63.6,45.5,40.8,radish
5.6,15.3,99.1,73.6,49.5,56.8,radish
6.9,25.4,73.7,176.3,83.2,126.6,sugarcane
7.0,21.5,94.0,143.6,48.9,104.3,capsicum
5.6,12.6,17.1,37.3,21.0,26.8,ragi
6.7,23.6,59.0,92.9,53.1,56.6,wheat
6.3,19.9,79.4,67.4,44.4,43.7,chowchow
5.4,22.1,64.2,98.3,53.0,41.8,rice
6.6,18.0,68.2,90.2,48.4,46.5,small onion
7.5,22.9,89.4,64.2,30.1,25.4,castor
6.8,18.4,82.4,115.0,69.6,93.6,tomato
6.6,18.7,76.7,63.7,69.4,89.4,bottle gourd
7.5,22.1,79.5,184.1,92.6,132.4,sugarcane
6.8,29.1,74.2,55.5,20.7,38.0,soyabean
6.6,26.5,80.5,42.6,21.0,25.3,redgram
6.2,25.7,88.5,71.4,73.3,65.5,snake gourd
6.6,20.0,19.0,57.9,30.8,29.1,kudiraivali
6.2,12.6,90.7,135.9,97.4,83.8,cabbage
6.8,34.2,77.5,117.1,54.3,89.7,muskmelon
6.3,14.3,93.6,137.7,100.0,82.7,cabbage
6.8,29.9,86.5,103.9,51.5,56.7,peas
6.3,22.7,75.7,135.9,74.4,69.9,maize
5.7,25.5,60.0,54.4,26.4,37.5,bengalgram
7.4,29.1,79.8,99.4,51.4,41.8,peas
6.8,26.1,97.3,86.8,53.4,45.6,cauliflower
6.0,24.6,98.4,123.8,92.5,111.0,bhendi
6.5,33.8,61.1,68.7,45.3,56.0,cucumber
6.8,29.7,54.7,47.2,36.3,37.3,horsegram
6.2,25.2,87.7,100.9,47.9,53.1,sweet potato
6.6,34.1,83.3,82.9,64.2,66.3,ribbed gourd
5.9,29.8,77.4,62.0,43.6,54.6,vegetable cowpea
6.2,22.9,58.9,101.3,44.2,48.0,wheat
7.4,27.4,64.7,23.1,38.1,33.5,greengram
6.6,26.5,80.0,80.6,51.7,91.4,bitter gourd
8.0,22.1,88.2,100.4,59.8,54.2,cotton
6.8,29.5,76.9,59.4,36.0,34.5,redgram
6.2,24.7,85.4,79.7,42.3,36.1,jute
6.0,28.6,18.5,34.4,23.2,29.2,thinai
6.6,18.1,80.9,117.0,45.6,109.5,tomato
6.8,25.5,77.6,114.6,56.6,96.7,watermelon
6.5,27.7,52.2,76.7,72.9,85.1,ash gourd
6.8,31.0,51.7,42.7,23.5,36.5,horsegram
6.5,28.3,53.3,75.5,52.4,59.7,tapoica
6.2,22.4,15.4,37.3,28.2,27.6,thinai
7.9,24.4,75.9,99.8,58.9,46.3,cluster bean
6.6,11.0,65.0,50.1,52.0,42.9,groundnut
7.7,22.0,81.5,90.4,52.1,40.1,cluster bean
6.2,26.4,55.9,93.7,44.2,54.9,tapoica
6.0,33.6,82.1,86.9,54.3,45.0,elephant foot yam
5.7,21.3,77.2,65.1,50.2,45.3,chowchow
6.7,16.4,17.9,33.7,26.1,21.6,ragi
5.8,10.1,77.6,66.1,50.0,56.0,french bean
6.7,31.9,65.0,78.1,47.5,50.3,groundnut
6.8,21.1,83.1,50.4,38.3,31.8,sunflower
6.7,25.7,78.4,82.8,35.8,44.3,jute
7.0,31.6,76.9,74.4,48.5,91.9,ribbed gourd
6.1,15.5,62.2,98.0,90.8,81.5,carrot
6.2,28.5,83.5,69.4,49.6,44.8,jute
6.0,16.3,66.5,100.0,65.5,70.4,carrot
7.3,30.7,65.7,77.3,57.7,51.0,cucumber
5.5,27.0,58.8,74.8,40.4,44.0,tapoica
5.6,27.3,85.0,80.2,57.8,41.7,vegetable cowpea
6.2,23.6,85.3,87.4,58.3,93.3,snake gourd
6.2,20.0,17.7,47.1,20.8,35.1,kudiraivali
6.2,28.3,63.4,93.9,69.6,89.0,ash gourd
6.1,20.6,98.4,89.7,44.9,40.1,beetroot
6.4,14.6,97.4,111.2,96.8,111.2,cabbage
6.0,25.1,96.7,132.4,96.2,84.7,bhendi
6.2,26.9,86.9,31.0,34.0,32.0,gingely
6.6,18.2,62.2,114.4,69.4,89.4,carrot
6.6,25.3,87.3,75.5,78.5,83.4,snake gourd
7.1,32.8,79.7,81.7,43.2,59.9,annual moringa
6.9,19.7,71.0,147.2,83.6,80.3,maize
5.7,25.3,87.8,102.3,50.0,44.3,sweet potato
6.6,21.1,94.1,117.5,77.0,85.6,capsicum
6.8,28.7,59.2,98.2,58.3,51.0,tapoica
6.7,11.3,97.4,72.7,58.5,53.5,radish
7.0,26.9,79.4,173.0,79.0,82.7,maize
5.6,26.4,80.7,86.8,42.0,45.1,vegetable cowpea
6.1,35.0,92.8,79.7,52.2,50.4,sorghum
6.6,28.7,58.5,89.6,48.6,50.0,tapoica
7.0,20.6,62.3,89.8,57.8,59.7,rice
6.6,24.4,16.1,30.3,29.1,23.4,ragi
6.5,28.9,82.7,78.6,66.3,83.9,ribbed gourd
7.4,28.2,63.7,22.8,31.6,21.9,greengram
6.8,18.2,98.9,86.6,42.2,55.5,beetroot
6.8,26.8,83.7,78.5,73.7,80.6,bitter gourd
6.6,8.3,99.7,109.1,40.4,56.0,cauliflower
5.6,22.6,60.0,51.0,25.3,27.2,bengalgram
6.6,18.4,62.7,94.5,40.6,86.0,pumpkin
6.0,21.1,64.9,69.7,75.8,76.9,pumpkin
6.4,22.3,56.6,119.5,53.9,56.1,wheat
7.2,27.6,83.5,98.9,59.7,55.3,annual moringa
6.8,23.9,50.3,80.6,52.6,44.8,wheat
6.2,19.6,77.1,74.3,45.8,45.8,chowchow
6.2,25.6,94.8,128.2,68.1,111.6,capsicum
7.0,18.8,75.7,114.3,72.0,62.0,sugarbeet
7.3,26.9,79.0,86.3,40.4,49.8,peas
6.6,22.4,65.2,82.6,59.0,58.6,small onion
6.6,20.9,78.6,59.1,22.4,39.1,redgram
5.8,25.4,60.0,49.8,39.5,24.6,bengalgram
5.9,25.3,75.7,71.2,58.5,40.6,vegetable cowpea
7.4,28.0,63.6,33.7,23.8,24.9,greengram
7.5,31.0,78.3,114.1,50.8,73.4,muskmelon
6.8,30.6,80.0,62.0,24.9,38.0,soyabean
6.3,25.3,52.1,68.1,57.0,40.3,tapoica
7.1,26.3,66.6,171.7,66.8,143.1,sugarcane
6.3,21.1,99.4,107.6,78.8,112.0,cabbage
7.4,25.8,82.1,61.0,42.8,55.4,tinda
7.1,33.7,67.3,77.6,57.7,42.4,cucumber
7.6,22.3,84.5,83.6,43.0,43.6,cluster bean
6.8,27.3,84.1,121.8,61.7,107.2,chillies
7.5,22.8,77.1,83.6,52.7,44.1,peas
7.3,20.5,17.5,28.0,35.0,37.4,blackgram
5.5,27.3,50.5,49.8,30.4,29.7,cowpea
7.4,24.6,75.4,91.1,47.5,98.7,watermelon
7.2,15.3,98.4,70.3,54.2,44.7,sorghum
7.0,25.8,65.7,94.5,42.1,69.2,pumpkin
6.9,27.4,85.4,62.5,39.3,20.6,soyabean
7.0,29.6,60.0,42.8,28.1,30.4,bengalgram
6.1,43.0,17.0,31.5,29.6,21.5,panivaragu
6.6,20.1,83.8,61.0,59.5,93.2,bottle gourd
6.6,33.2,18.2,36.3,20.6,23.9,panivaragu
6.7,31.2,65.6,34.5,34.4,37.2,greengram
7.1,28.4,86.7,47.5,39.7,27.8,pearl millet
6.4,25.1,96.5,147.5,68.8,98.7,bhendi
6.0,22.8,77.2,92.2,56.7,53.8,vegetable cowpea
5.8,19.9,83.0,144.1,67.9,79.2,maize
6.5,25.9,65.3,94.3,52.1,46.0,cucumber
6.5,23.6,61.1,86.0,41.9,81.1,pumpkin
6.1,22.5,70.6,53.5,28.3,29.1,soyabean
6.6,39.6,88.6,42.5,36.8,34.0,pearl millet
5.8,26.3,15.8,34.1,27.2,21.0,varagu
6.8,22.3,73.4,77.2,52.4,58.9,small onion
7.5,23.2,90.0,134.8,59.8,110.3,brinjal
6.0,25.5,50.4,70.3,45.5,46.5,tapoica
6.8,27.3,83.1,82.5,59.8,50.1,annual moringa
5.9,19.7,79.7,60.1,51.8,42.7,chowchow
5.6,30.3,94.4,29.0,39.9,21.2,gingely
6.2,25.9,98.0,125.5,70.7,101.5,bhendi
5.8,17.6,97.0,81.8,54.7,48.5,radish
6.2,17.7,65.6,107.6,95.5,99.4,carrot
7.1,27.8,73.6,94.9,43.3,42.2,cotton
6.7,18.2,80.9,64.6,50.5,60.4,bottle gourd
7.5,25.6,17.1,30.9,27.0,27.2,blackgram
6.8,22.6,80.4,148.0,73.3,95.0,tomato
6.7,12.6,79.3,87.7,49.7,41.2,peas
7.4,28.1,77.9,99.8,57.8,45.4,tinda
6.6,20.0,18.9,54.1,29.5,27.4,kudiraivali
6.3,20.9,99.4,73.1,59.2,40.9,beetroot
5.6,26.6,19.2,30.5,24.1,25.0,varagu
7.3,21.0,81.5,118.5,53.9,105.3,tomato
6.4,9.4,90.4,142.2,62.0,83.1,cabbage
7.3,23.1,78.4,195.9,91.3,144.5,sugarcane
8.5,24.4,83.5,63.1,55.5,52.0,cluster bean
6.5,23.3,75.6,102.1,49.0,85.5,onion
6.7,24.2,66.9,77.2,56.7,53.4,small onion
6.8,14.4,95.9,89.6,43.1,50.5,cauliflower
5.9,27.0,84.1,71.5,45.4,56.3,vegetable cowpea
7.2,27.8,79.3,82.3,51.2,52.6,tinda
6.4,25.5,86.3,96.7,41.4,41.4,sweet potato
5.1,24.3,51.2,47.6,27.1,38.7,cowpea
6.9,22.7,60.9,96.7,42.9,70.9,pumpkin
5.8,20.0,15.7,42.3,33.0,20.0,kudiraivali
5.7,22.1,75.6,89.8,56.9,44.9,french bean
6.6,27.6,75.3,74.1,73.8,66.0,ribbed gourd
6.2,25.7,19.5,38.2,22.4,22.8,varagu
7.2,27.6,70.2,97.2,48.5,56.4,peas
6.7,24.4,78.3,115.9,58.8,93.5,watermelon
6.6,22.6,80.4,45.3,37.9,34.6,redgram
6.6,23.8,51.3,118.6,41.5,50.5,wheat
6.3,23.8,86.3,81.4,46.5,57.3,sweet potato
6.3,24.6,81.6,85.1,49.6,62.7,watermelon
6.9,26.4,76.1,88.0,63.7,96.2,ribbed gourd
6.2,25.2,18.7,40.0,23.5,28.2,thinai
7.5,26.4,83.9,95.4,42.6,59.3,tinda
6.7,20.4,89.3,88.1,51.5,44.8,peas
7.5,32.8,66.6,79.7,58.3,43.5,cucumber
6.4,24.7,77.1,119.2,47.6,111.5,onion
6.4,17.4,96.2,82.4,51.0,50.3,radish
6.2,25.5,71.9,155.5,81.5,84.2,maize
7.0,18.4,67.7,86.7,69.7,90.4,pumpkin
6.1,23.3,77.4,128.0,67.4,100.8,chillies
8.9,39.0,17.5,37.6,26.4,26.5,samai
7.7,24.2,84.8,78.6,55.4,55.2,cluster bean
6.2,27.9,84.5,76.2,45.2,31.8,jute
6.3,26.1,76.2,104.9,41.8,62.8,watermelon
7.4,21.2,18.7,34.9,28.8,27.7,ragi
7.5,25.7,85.5,48.8,26.5,35.7,pearl millet
6.0,10.1,98.4,126.1,95.2,95.0,cabbage
6.9,21.7,51.1,99.9,54.0,53.6,wheat
6.7,28.0,59.5,92.9,58.8,47.2,tapoica
6.8,28.2,52.5,71.0,55.2,40.8,tapoica
5.9,14.4,15.9,39.3,27.4,29.7,panivaragu
7.4,32.1,63.9,30.2,37.5,39.2,greengram
7.3,28.2,84.1,86.9,41.5,64.4,ribbed gourd
6.9,28.1,60.0,42.4,20.2,26.0,bengalgram
6.3,20.2,99.5,72.1,51.4,50.5,sorghum
7.1,16.7,84.1,44.2,34.0,36.2,pearl millet
7.7,21.1,75.0,92.6,46.4,53.7,cluster bean
6.2,14.2,90.5,148.8,85.0,86.0,cabbage
6.0,26.3,93.1,121.1,60.6,100.6,cabbage
5.8,26.5,18.1,35.3,22.7,27.6,varagu
6.5,20.6,15.8,32.7,29.1,24.8,ragi
7.2,30.4,68.0,85.5,59.7,46.6,cucumber
5.5,26.3,54.0,85.2,42.6,45.7,tapoica
6.5,26.6,82.8,84.0,42.7,45.0,elephant foot yam
6.9,26.3,52.1,83.9,40.8,48.9,tapoica
6.5,14.8,93.5,117.2,74.2,117.1,cabbage
6.6,26.9,85.8,63.3,49.4,77.9,bitter gourd
6.1,25.5,88.2,89.3,70.7,97.4,snake gourd
6.4,30.0,77.9,62.6,34.1,33.5,soyabean
6.3,19.2,60.8,175.6,89.7,66.5,maize
5.5,10.1,79.0,79.0,45.0,47.8,french bean
7.0,34.6,69.1,39.2,30.8,22.7,greengram
6.5,18.4,65.4,71.4,41.3,59.4,small onion
5.9,19.0,82.1,92.3,55.5,58.0,chowchow
6.5,20.9,82.0,117.5,59.3,112.6,onion
6.1,19.0,80.9,64.3,44.5,54.4,chowchow
5.7,23.8,86.7,85.8,54.1,50.7,sweet potato
7.1,25.5,83.5,103.4,48.3,47.8,annual moringa
6.7,18.4,90.0,143.4,66.3,91.0,brinjal
6.1,18.4,99.5,69.9,55.1,42.6,beetroot
6.7,24.1,76.6,86.0,61.4,91.6,bottle gourd
6.3,23.6,76.8,103.8,72.7,87.6,onion
6.8,28.0,99.1,91.3,43.7,45.7,cauliflower
7.2,34.8,65.1,79.8,40.4,40.8,cucumber
5.5,14.7,18.2,35.3,29.8,26.9,ragi
6.0,30.7,90.0,60.8,28.3,37.0,soyabean
7.9,20.3,87.8,72.7,30.9,29.2,sunflower
7.0,27.7,83.2,96.4,59.4,51.1,tinda
6.9,26.9,60.8,91.7,77.4,61.4,pumpkin
7.2,22.3,95.8,66.3,52.5,53.7,sorghum
7.2,29.1,84.8,113.8,59.6,69.8,muskmelon
6.7,16.9,96.8,97.1,52.1,47.6,radish
7.4,39.8,96.6,62.5,53.6,40.1,sorghum
6.3,19.5,96.6,140.5,94.5,81.4,cabbage
6.5,19.7,67.5,119.4,97.8,70.9,carrot
7.0,23.7,77.7,113.7,71.8,110.7,tomato
6.2,19.3,62.9,158.6,61.4,71.3,maize
7.1,26.9,83.1,147.1,53.8,85.0,tomato
7.8,28.5,98.6,38.1,32.3,26.7,gingely
5.9,25.1,17.7,39.3,23.3,25.9,varagu
6.5,30.6,58.5,96.7,47.0,94.2,ash gourd
5.8,20.0,17.9,51.2,34.1,30.3,kudiraivali
6.9,17.1,66.5,116.8,62.7,75.7,carrot
5.6,11.6,95.5,75.0,52.0,46.9,radish
6.8,17.7,84.3,47.6,36.7,21.7,pearl millet
6.6,20.0,73.1,84.6,41.5,52.8,small onion
5.6,29.2,76.1,69.7,48.6,45.4,vegetable cowpea
6.5,13.4,18.8,39.4,27.4,21.7,ragi
6.7,41.1,65.0,72.7,44.0,53.1,groundnut
6.2,24.3,86.7,70.4,64.8,94.3,snake gourd
6.7,5.3,99.0,96.5,59.3,57.0,cauliflower
6.5,35.1,76.8,75.0,44.5,39.0,jute
6.3,21.2,15.7,36.5,28.1,28.6,thinai
7.2,24.4,96.8,78.2,32.0,34.7,sunflower
5.9,17.2,15.7,31.3,22.8,22.2,panivaragu
7.3,29.8,75.7,126.4,63.2,84.7,tomato
6.7,17.5,99.2,87.4,44.3,56.2,cauliflower
6.5,27.5,50.8,97.6,54.2,59.6,tapoica
5.8,11.5,97.0,66.2,41.6,54.2,radish
6.7,27.6,81.1,71.5,40.5,43.7,elephant foot yam
6.5,16.0,97.7,99.6,53.9,59.6,radish
6.4,19.7,97.6,132.6,82.0,110.8,cabbage
6.6,29.8,79.5,69.8,61.1,60.9,ribbed gourd
6.2,24.8,80.6,106.7,48.2,83.6,onion
6.1,21.8,58.2,82.7,40.3,55.7,wheat
6.8,33.5,17.9,34.6,28.0,39.2,blackgram
7.7,29.3,74.0,97.3,50.7,44.2,rice
6.4,21.0,50.0,114.5,40.2,52.7,wheat
6.7,25.6,79.7,97.6,53.1,59.5,tinda
7.5,30.8,17.9,30.1,23.0,30.1,blackgram
7.9,32.8,84.1,105.2,41.3,44.0,annual moringa
7.5,29.7,77.8,95.2,44.4,45.2,tinda
6.1,20.0,85.8,88.7,48.3,69.3,snake gourd
6.5,26.0,75.6,63.0,34.5,48.6,jute
6.3,24.5,90.4,109.1,53.1,118.1,capsicum
6.7,25.3,91.1,64.0,52.1,88.1,bitter gourd
6.6,28.9,80.3,43.4,35.8,24.6,redgram
7.4,20.8,77.1,149.5,50.7,104.7,tomato
5.8,26.7,91.3,107.6,78.8,107.1,capsicum
7.2,14.1,15.5,35.6,20.2,21.8,ragi
6.5,20.0,18.5,55.8,39.4,30.8,kudiraivali
7.4,25.2,76.1,70.7,54.4,45.2,tinda
6.1,16.3,79.7,54.4,32.5,30.6,soyabean
6.7,24.1,63.6,72.2,75.3,81.0,ash gourd
6.3,30.3,98.5,61.2,49.4,56.8,sorghum
6.4,28.8,50.0,47.0,22.9,21.2,cowpea
6.9,25.8,50.8,83.8,51.5,47.9,tapoica
